sample,ref_order,prewarm_s,total_aae_bpm,motion_aae_bpm,runtime_s,status,error
multi_bobi1,HF,0,5.6618044704861115,8.944503784179688,0.75,ok,
multi_bobi1,HF,2,29.595589192708335,52.64625549316406,0.51,ok,
multi_bobi1,HF,4,29.733978949652776,52.335357666015625,0.53,ok,
multi_bobi1,HF,6,29.391939019097222,51.69273376464844,0.55,ok,
multi_bobi1,HF,8,29.664404296875,52.608184814453125,0.53,ok,
multi_bobi1,HF,10,30.254308810763888,53.05610656738281,0.51,ok,
multi_bobi1,HF,12,6.838744574652778,10.976959228515627,0.56,ok,
multi_bobi1,ACC,0,4.999403211805555,6.768768310546875,0.62,ok,
multi_bobi1,ACC,2,27.618541666666665,45.37837219238281,0.63,ok,
multi_bobi1,ACC,4,27.161371527777778,44.69915771484375,0.57,ok,
multi_bobi1,ACC,6,27.265045572916666,45.05219268798828,0.58,ok,
multi_bobi1,ACC,8,26.67182074652778,43.15666961669922,0.61,ok,
multi_bobi1,ACC,10,5.3336349826388885,8.033805847167969,0.62,ok,
multi_bobi1,ACC,12,4.894533420138889,6.1891937255859375,0.53,ok,
multi_bobi2,HF,0,4.5996482646570795,11.611174665178572,0.52,ok,
multi_bobi2,HF,2,4.648126382743363,11.784891183035715,0.48,ok,
multi_bobi2,HF,4,4.634061290099558,11.760951450892858,0.51,ok,
multi_bobi2,HF,6,4.596022884402655,11.685491071428572,0.55,ok,
multi_bobi2,HF,8,4.619123340707965,11.659333147321428,0.54,ok,
multi_bobi2,HF,10,4.692534050055309,11.874623325892857,0.48,ok,
multi_bobi2,HF,12,4.690913647676991,11.874623325892857,0.49,ok,
multi_bobi2,ACC,0,4.608696051403484,9.777566964285713,0.55,ok,
multi_bobi2,ACC,2,4.719594229639104,9.693512834821426,0.53,ok,
multi_bobi2,ACC,4,26.552455125656802,48.880726841517856,0.56,ok,
multi_bobi2,ACC,6,26.56289267750968,48.80608956473214,0.56,ok,
multi_bobi2,ACC,8,4.886186717885784,10.83871372767857,0.56,ok,
multi_bobi2,ACC,10,4.8918581262098995,10.849176897321428,0.55,ok,
multi_bobi2,ACC,12,26.57766858666344,48.784291294642856,0.53,ok,
multi_fuwo1,HF,0,9.057249737269988,22.588166610054348,0.42,ok,
multi_fuwo1,HF,2,8.954502473627855,22.19318953804348,0.49,ok,
multi_fuwo1,HF,4,8.949855126705266,22.189208984375004,0.42,ok,
multi_fuwo1,HF,6,8.947996187936232,22.181247877038047,0.47,ok,
multi_fuwo1,HF,8,8.960361848627855,22.23420516304348,0.49,ok,
multi_fuwo1,HF,10,8.960361848627855,22.23420516304348,0.45,ok,
multi_fuwo1,HF,12,9.057249737269988,22.588166610054348,0.43,ok,
multi_fuwo1,ACC,0,2.698178983581853,5.764202615489129,0.44,ok,
multi_fuwo1,ACC,2,3.0817648021097717,8.190429687499998,0.47,ok,
multi_fuwo1,ACC,4,2.8658899607392136,6.5731784986413055,0.48,ok,
multi_fuwo1,ACC,6,2.806760836373731,6.47522503396739,0.47,ok,
multi_fuwo1,ACC,8,2.8339707427823604,6.7142280910326075,0.49,ok,
multi_fuwo1,ACC,10,2.8461257237468276,6.6903447690217375,0.47,ok,
multi_fuwo1,ACC,12,2.8361370260945433,6.704526154891303,0.44,ok,
multi_fuwo2,HF,0,4.326668211651333,16.021603732638887,0.46,ok,
multi_fuwo2,HF,2,4.314892454195749,17.91306423611111,0.46,ok,
multi_fuwo2,HF,4,4.320469270502855,17.921202256944444,0.44,ok,
multi_fuwo2,HF,6,4.32697555619448,17.933409288194444,0.42,ok,
multi_fuwo2,HF,8,4.317680862349302,17.89271918402778,0.47,ok,
multi_fuwo2,HF,10,4.326668211651333,16.021603732638887,0.43,ok,
multi_fuwo2,HF,12,4.326668211651333,16.021603732638887,0.45,ok,
multi_fuwo2,ACC,0,2.6421658262914542,6.346028645833333,0.48,ok,
multi_fuwo2,ACC,2,2.6824091697225767,6.525065104166667,0.56,ok,
multi_fuwo2,ACC,4,2.6992100306919644,6.736653645833333,0.46,ok,
multi_fuwo2,ACC,6,2.730644381776148,6.757400173611111,0.47,ok,
multi_fuwo2,ACC,8,2.7737775530133923,6.822504340277778,0.45,ok,
multi_fuwo2,ACC,10,2.7727013412786983,6.817816840277778,0.46,ok,
multi_fuwo2,ACC,12,2.6893895986128826,6.264431423611111,0.47,ok,
multi_kaihe1,HF,0,4.3319873046875,7.160678439670139,0.53,ok,
multi_kaihe1,HF,2,4.015713975694445,7.357293023003472,0.51,ok,
multi_kaihe1,HF,4,4.42077853732639,8.75326877170139,0.54,ok,
multi_kaihe1,HF,6,4.497551540798612,8.585822211371529,0.54,ok,
multi_kaihe1,HF,8,4.470023328993056,8.417975531684029,0.55,ok,
multi_kaihe1,HF,10,4.4497347005208345,8.267998589409721,0.56,ok,
multi_kaihe1,HF,12,11.877703450520833,24.690049913194443,0.53,ok,
multi_kaihe1,ACC,0,3.9069954427083333,6.596849229600696,0.56,ok,
multi_kaihe1,ACC,2,46.11910481770833,69.12822129991319,0.59,ok,
multi_kaihe1,ACC,4,4.093639322916666,8.05221218532986,0.54,ok,
multi_kaihe1,ACC,6,4.088601345486111,8.001349555121529,0.56,ok,
multi_kaihe1,ACC,8,4.093484157986111,8.001349555121529,0.58,ok,
multi_kaihe1,ACC,10,4.102121310763889,8.070014105902779,0.53,ok,
multi_kaihe1,ACC,12,4.101307508680556,8.057298448350695,0.6,ok,
multi_kaihe2,HF,0,3.6852730415962838,8.954645647321428,0.57,ok,
multi_kaihe2,HF,2,3.6985710075309686,9.614271763392857,0.56,ok,
multi_kaihe2,HF,4,3.7083322336007885,9.768387276785715,0.56,ok,
multi_kaihe2,HF,6,3.7868091480152026,10.02250279017857,0.58,ok,
multi_kaihe2,HF,8,3.8284274264498874,10.032965959821428,0.55,ok,
multi_kaihe2,HF,10,3.6451108090512387,9.644029017857143,0.55,ok,
multi_kaihe2,HF,12,3.606175878026464,9.227762276785715,0.58,ok,
multi_kaihe2,ACC,0,3.8744165918848545,9.14189453125,0.54,ok,
multi_kaihe2,ACC,2,4.197058325415259,10.662200055803572,0.57,ok,
multi_kaihe2,ACC,4,4.183032336535755,10.997021484375,0.54,ok,
multi_kaihe2,ACC,6,4.191196750950169,10.703920200892858,0.56,ok,
multi_kaihe2,ACC,8,4.1788335576787725,10.942264229910714,0.53,ok,
multi_kaihe2,ACC,10,4.1788335576787725,10.942264229910714,0.53,ok,
multi_kaihe2,ACC,12,4.048026969840935,10.4380859375,0.52,ok,
multi_tiaosheng1,HF,0,3.6212368855434183,6.296931612318841,0.53,ok,
multi_tiaosheng1,HF,2,25.534698756395187,53.87473816802536,0.51,ok,
multi_tiaosheng1,HF,4,3.5422692763066923,5.975196727807971,0.55,ok,
multi_tiaosheng1,HF,6,3.5252550513343475,5.94137794384058,0.51,ok,
multi_tiaosheng1,HF,8,3.5757338262237277,6.125290138134058,0.54,ok,
multi_tiaosheng1,HF,10,3.606398320831029,6.2423290307971016,0.54,ok,
multi_tiaosheng1,HF,12,3.523634648956029,5.979209125905797,0.58,ok,
multi_tiaosheng1,ACC,0,3.37584476977323,5.184697690217392,0.53,ok,
multi_tiaosheng1,ACC,2,3.778931744330752,6.347203351449275,0.57,ok,
multi_tiaosheng1,ACC,4,3.320003543279867,5.12497169384058,0.54,ok,
multi_tiaosheng1,ACC,6,3.3214640659568584,5.16212352807971,0.57,ok,
multi_tiaosheng1,ACC,8,3.3328068826050883,5.204582767210145,0.53,ok,
multi_tiaosheng1,ACC,10,3.4180141212665935,5.467900815217392,0.52,ok,
multi_tiaosheng1,ACC,12,3.4569037783462395,5.595278532608695,0.57,ok,
multi_tiaosheng2,HF,0,3.0765679253472222,6.8190416309931505,0.52,ok,
multi_tiaosheng2,HF,2,3.0900401475694443,6.35249892979452,0.54,ok,
multi_tiaosheng2,HF,4,3.1115288628472224,6.3842706549657535,0.57,ok,
multi_tiaosheng2,HF,6,3.1245887586805554,6.429419948630137,0.67,ok,
multi_tiaosheng2,HF,8,3.127843967013889,6.439453125,0.65,ok,
multi_tiaosheng2,HF,10,3.1389073350694443,6.4795858304794525,0.55,ok,
multi_tiaosheng2,HF,12,3.1454177517361113,6.489619006849315,0.62,ok,
multi_tiaosheng2,ACC,0,3.0340700954861113,6.404631314212328,0.58,ok,
multi_tiaosheng2,ACC,2,2.991127387152778,6.143902504280822,0.67,ok,
multi_tiaosheng2,ACC,4,2.980224609375,6.01566513270548,0.63,ok,
multi_tiaosheng2,ACC,6,2.9740223524305556,5.947158604452055,0.6,ok,
multi_tiaosheng2,ACC,8,2.960814887152778,5.966649721746576,0.59,ok,
multi_tiaosheng2,ACC,10,3.539955512152778,7.755471425513699,0.57,ok,
multi_tiaosheng2,ACC,12,3.611279296875,8.183031892123287,0.58,ok,
